# logM_lo logM_hi N Mave
1.458879887934254249e+01 1.465935893537541546e+01 7.527292223897704389e+03 4.177691084796510000e+14
1.465935893537541546e+01 1.472991899140828842e+01 3.979965856709497530e+03 4.918825000000000000e+14
1.472991899140828842e+01 1.480047904744116138e+01 2.061275601689641462e+03 5.783267918932270000e+14
1.480047904744116138e+01 1.487103910347403435e+01 9.597203879719131692e+02 6.794849682203390000e+14
1.487103910347403435e+01 1.494159915950690731e+01 4.616718353265616201e+02 7.982558461538460000e+14
1.494159915950690731e+01 1.501215921553978028e+01 1.904264655457594984e+02 9.382593085106380000e+14
1.501215921553978028e+01 1.508271927157265324e+01 7.888829674932566149e+01 1.098371794871795000e+15
1.508271927157265324e+01 1.515327932760552621e+01 1.717050673562922469e+01 1.291082352941176000e+15
1.515327932760552621e+01 1.522383938363839917e+01 8.071786945380008405e+00 1.487450000000000000e+15
1.522383938363839917e+01 1.529439943967127036e+01 5.038781912116827577e+00 1.790100000000000000e+15
