# logM_lo logM_hi N Mave
1.106135247908719421e+01 1.125889837992370701e+01 6.132965871321633458e+05 1.435604563170000000e+11
1.125889837992370701e+01 1.145644428076021804e+01 4.021836917649860261e+05 2.263935628330000000e+11
1.145644428076021804e+01 1.165399018159673084e+01 2.664944738436400075e+05 3.566832076700000000e+11
1.165399018159673084e+01 1.185153608243324364e+01 1.746660176056045166e+05 5.616356665450000000e+11
1.185153608243324364e+01 1.204908198326975466e+01 1.140335151492848818e+05 8.848859822460000000e+11
1.204908198326975466e+01 1.224662788410626746e+01 7.318049409654657939e+04 1.393684019749000000e+12
1.224662788410626746e+01 1.244417378494278026e+01 4.702977679025159887e+04 2.193420471114000000e+12
1.244417378494278026e+01 1.264171968577929306e+01 2.968804138929768669e+04 3.456047342669000000e+12
1.264171968577929306e+01 1.283926558661580408e+01 1.867539451469688720e+04 5.449056219172000000e+12
1.283926558661580408e+01 1.303681148745231688e+01 1.115282884535194717e+04 8.554311540877000000e+12
1.303681148745231688e+01 1.323435738828882791e+01 6.504017599082889319e+03 1.349314584615300000e+13
1.323435738828882791e+01 1.343190328912534071e+01 3.599562542602780013e+03 2.121171817676400000e+13
1.343190328912534071e+01 1.362944918996185351e+01 1.918584052141498660e+03 3.343593274244000000e+13
1.362944918996185351e+01 1.382699509079836631e+01 1.010217175634047180e+03 5.223490495049500000e+13
1.382699509079836631e+01 1.402454099163487733e+01 4.450673517309377871e+02 8.194021797752800000e+13
1.402454099163487733e+01 1.422208689247139013e+01 1.710183345109547304e+02 1.274894736842100000e+14
1.422208689247139013e+01 1.441963279330790293e+01 6.200458650444718955e+01 2.051948387096770000e+14
1.441963279330790293e+01 1.461717869414441395e+01 1.200064371445131428e+01 3.098541666666660000e+14
1.461717869414441395e+01 1.481472459498092675e+01 5.000180749563458704e+00 5.140000000000000000e+14
