# logM_lo logM_hi N Mave
1.368570441575707974e+01 1.380141919496922576e+01 6.135471968761734897e+05 5.520691346059200000e+13
1.380141919496922576e+01 1.391713397418137177e+01 4.456081654601412010e+05 7.211149701586000000e+13
1.391713397418137177e+01 1.403284875339351778e+01 3.319688815204645507e+05 9.398093346811800000e+13
1.403284875339351778e+01 1.414856353260566380e+01 2.409453886862521176e+05 1.226941695100420000e+14
1.414856353260566380e+01 1.426427831181780981e+01 1.703536452341924305e+05 1.600081187073820000e+14
1.426427831181780981e+01 1.437999309102995582e+01 1.184536846217490674e+05 2.088706228509170000e+14
1.437999309102995582e+01 1.449570787024210183e+01 7.911110253546389868e+04 2.723945869014740000e+14
1.449570787024210183e+01 1.461142264945424785e+01 5.172143409080536367e+04 3.553442403390090000e+14
1.461142264945424785e+01 1.472713742866639386e+01 3.241940658219913166e+04 4.634585302682940000e+14
1.472713742866639386e+01 1.484285220787853987e+01 1.921312792615164290e+04 6.041873063463040000e+14
1.484285220787853987e+01 1.495856698709068588e+01 1.058458295942289442e+04 7.857032565851810000e+14
1.495856698709068588e+01 1.507428176630283190e+01 5.545018237842849885e+03 1.025252819956616000e+15
1.507428176630283190e+01 1.518999654551497791e+01 2.562902482946391501e+03 1.333409030492572000e+15
1.518999654551497791e+01 1.530571132472712392e+01 1.116736424276334674e+03 1.739108789237668000e+15
1.530571132472712392e+01 1.542142610393926994e+01 3.674636469712375515e+02 2.273371389645777000e+15
1.542142610393926994e+01 1.553714088315141595e+01 1.301340492168868934e+02 2.948824615384616000e+15
1.553714088315141595e+01 1.565285566236356196e+01 2.001678141601233207e+01 3.840075000000000000e+15
1.565285566236356196e+01 1.576857044157570797e+01 8.005625891718409548e+00 4.815412500000000000e+15
